Date,Revenue,Upper_Bound,Lower_Bound,Confidence_Interval
2011-12-10,107442.51797724389,134296.0055867288,79497.10136800814,54798.904218720665
2011-12-11,63245.03243178421,90989.61406085866,38988.84623488126,52000.7678259774
2011-12-12,79132.07395861905,105394.31850764045,49007.4274334533,56386.89107418715
2011-12-13,80580.37156228092,106705.90672050105,51655.0428875633,55050.86383293775
2011-12-14,72694.33943009815,99666.07284925271,46717.12276788798,52948.95008136473
2011-12-15,80685.53235895123,107338.08639121275,53779.77017235657,53558.316218856184
2011-12-16,76200.89178901314,105469.01573890711,50887.65705264963,54581.35868625748
2011-12-17,96331.72048539727,124143.28986273297,68463.8155234005,55679.474339332475
2011-12-18,51838.26412753169,79037.37473036311,26728.49343075266,52308.88129961045
2011-12-19,68220.42728320036,97472.17572540243,41742.84556611362,55729.33015928881
2011-12-20,69806.17297858384,96255.81334497448,42022.50679592629,54233.30654904819
2011-12-21,60030.58415382167,87097.45223672868,33318.325753559,53779.12648316968
2011-12-22,63571.76433087477,90611.11026763819,36741.51786057445,53869.592407063734
2011-12-23,53590.71459903864,80507.79091340686,29920.141059748537,50587.649853658324
2011-12-24,69879.51300789538,97308.03217010574,43439.96712984785,53868.06504025789
2011-12-25,25085.060250109196,49840.6682665019,-1231.6395810256208,51072.307847527525
2011-12-26,44395.589440431046,70449.05317260537,18054.013524162543,52395.039648442835
2011-12-27,50096.906066047944,77299.01970889034,22378.664714994848,54920.35499389549
2011-12-28,43709.213458219034,70664.75929597142,17550.853517435236,53113.90577853619
2011-12-29,49645.637522369274,76393.58328133283,23200.457103306828,53193.126178026
2011-12-30,42287.609400680834,69925.64338253246,14762.906144023134,55162.73723850933
2011-12-31,62568.49896632358,88994.79004133132,36400.80947604848,52593.980565282836
2012-01-01,22840.5663931634,48709.49869650355,-4582.513987196813,53292.01268370036
2012-01-02,46757.41750901361,72789.27852331572,19627.608072897783,53161.670450417936
2012-01-03,55354.01487634171,80314.14513445074,29044.33526472119,51269.80986972955
2012-01-04,50477.14066332837,76528.70841882298,24382.823954227028,52145.88446459595
2012-01-05,58160.5566488157,84541.51413307278,30646.887911273443,53894.626221799335
2012-01-06,54046.58147518741,82145.97377757856,25245.368183114697,56900.605594463865
2012-01-07,78532.47662677761,104418.7789293005,52174.57993880057,52244.198990499935
2012-01-08,41855.485100404694,67574.6875789956,14024.627109189754,53550.060469805845
2012-01-09,65734.058630669,92389.27765674649,36258.692839495976,56130.584817250514
2012-01-10,71161.05995805399,97046.52435837765,44911.590022139215,52134.93433623843
2012-01-11,61938.81723748668,90616.60109354799,33725.573343663214,56891.02774988477
2012-01-12,66480.55717095599,96058.40484258867,40371.45293936389,55686.951903224784
2012-01-13,61441.49639329164,87735.74193215916,35648.592674047424,52087.149258111735
2012-01-14,86438.85431959253,113572.84624509336,60891.28328307322,52681.562962020136
2012-01-15,50290.193630529924,78896.50097791528,24336.226501106397,54560.274476808874
2012-01-16,74107.29134728655,100571.77091710022,49311.091602293425,51260.679314806795
2012-01-17,79381.88174579878,107529.62666105303,52555.182988051376,54974.44367300165
2012-01-18,70463.34354736698,98208.67662543136,43676.44336684853,54532.233258582826
2012-01-19,75187.02337102138,103456.46749207428,47308.30332537684,56148.16416669745
2012-01-20,68595.08963765894,95731.52775866601,41307.00430934751,54424.5234493185
2012-01-21,89097.94992413763,114388.86936606315,61243.0244916097,53145.844874453454
2012-01-22,46151.88797025408,72901.36791142143,20316.381531057898,52584.98638036354
2012-01-23,63298.81669843102,91115.22828773723,37105.546803511,54009.68148422623
2012-01-24,64570.08656735929,91983.5059054917,37102.46552970937,54881.04037578232
2012-01-25,55083.78474874512,82132.66478004893,29438.972206124432,52693.6925739245
2012-01-26,61270.993960971166,89903.24416501542,35803.55671423102,54099.687450784404
2012-01-27,56009.61369169488,82927.6940320441,27596.983571967314,55330.71046007679
2012-01-28,76684.88787337879,105475.11724171326,49095.28519766178,56379.83204405148
2012-01-29,33518.1066451059,58680.85652013237,7819.402910813027,50861.453609319346
2012-01-30,51508.3615411695,79445.09443930474,23448.168223260018,55996.926216044725
2012-01-31,55163.65636030151,82520.96025509718,27469.672824257068,55051.28743084011
2012-02-01,48529.4887413454,72864.02808228423,22757.635315330295,50106.39276695394
2012-02-02,56492.817282129894,83561.89755053766,30041.931420236535,53519.96613030112
2012-02-03,51529.96109965298,79576.28685393238,23589.654479601308,55986.63237433108
2012-02-04,72259.6717936886,100284.60991676884,44047.86785122009,56236.742065548744
2012-02-05,30581.361946426972,59272.509475758336,2982.2693506388064,56290.240125119526
2012-02-06,51855.33490384253,77389.04487429895,26062.130435016312,51326.91443928264
2012-02-07,59026.90870931801,85113.07837213505,31247.8052283963,53865.27314373874
2012-02-08,53867.482266049694,80916.31642379692,27300.397686961565,53615.91873683535
2012-02-09,60248.73217076858,88090.4903264455,33885.05455557689,54205.435770868615
